Path;Class
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgRotation-25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgRotation-45.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgRotation-5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgRotation-50.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\1.jpgRotation-90.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgRotation-25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgRotation-45.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgRotation-5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgRotation-50.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\10.jpgRotation-90.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgRotation-25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgRotation-45.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgRotation-5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgRotation-50.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\11.jpgRotation-90.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgRotation-25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgRotation-45.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgRotation-5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgRotation-50.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\12.jpgRotation-90.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgAverageingBlur-4.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgClosing-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgCrop-40x40.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgDilation-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgErosion-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgGaussianBlur-0.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgGaussianBlur-0.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgMedianBlur-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgMultiply-1.251.251.25.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgMultiply-1.2511.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgMultiply-1.51.51.5.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgOpening-1.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgOpening-3.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgRotation-0.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgRotation-15.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgRotation-180.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgRotation-20.jpg;1
?D:\Class_NN\Class_preprocessing_4400\1\13.jpgRotation-25.jpg;1
